,pred,std,lat,lon
195,3.7579174,0.9313714,34.75,73.25
196,0.7464158,0.954181,35.5,78.25
197,0.9901043,0.9262091,33.0,78.25
198,3.656707,0.93237513,35.0,73.0
199,0.31246543,0.9766494,33.5,79.75
200,3.3004622,0.9616106,34.0,73.5
201,0.9512993,0.93442714,32.75,78.5
202,2.126949,0.9214961,36.0,75.5
203,3.3391967,0.9136326,35.25,74.75
204,3.7751815,0.9206387,34.5,75.25
205,2.9041917,0.9131806,33.75,76.5
206,0.6313858,0.950977,35.5,78.5
207,0.53618646,0.948108,34.5,78.5
208,2.678948,0.9151288,36.0,73.25
209,2.1437612,0.9363627,36.25,72.75
210,0.349541,0.9676443,34.0,79.5
211,1.6074924,0.93726695,36.5,74.25
212,0.91225016,0.93528146,35.0,77.75
213,0.8430587,0.95034695,35.5,78.0
214,1.3271654,0.93487674,36.75,74.0
215,3.6301148,0.93074054,35.0,72.75
216,0.27378196,0.99386823,34.25,80.0
217,1.8083813,0.9237624,33.0,77.5
218,0.5242667,0.9860932,31.75,81.25
219,0.6880945,0.94786173,32.5,79.0
220,2.5861201,0.91421795,35.0,76.25
221,3.1887379,0.91296995,35.5,75.0
222,2.4332032,0.91442037,35.25,76.25
223,3.4791875,0.9143668,35.25,74.5
224,2.38124,0.91650814,33.25,77.0
225,0.37431183,1.0078869,31.5,81.75
226,1.956144,0.9243701,36.25,75.25
227,1.1799206,0.93116415,33.0,78.0
228,2.6098247,0.9194719,33.0,77.0
229,1.4617951,0.921388,34.75,77.25
230,0.3237091,0.99628305,31.75,81.0
231,1.1164894,0.9497933,37.0,75.0
232,2.772551,0.91345525,35.0,76.0
233,3.030356,0.9122256,34.25,76.25
234,2.2364628,0.9183223,35.75,76.0
235,3.045954,0.92748934,35.75,72.75
236,0.5925968,0.9439244,33.5,78.5
237,3.3172436,0.9086793,35.5,74.25
238,1.3528796,0.9460467,36.75,75.0
239,0.27492064,0.97961617,33.75,80.0
240,1.4854807,0.9208648,34.0,77.25
241,0.6729575,0.9391143,32.75,78.75
242,2.7741086,0.9140168,35.25,75.75
243,1.5529627,0.9267576,32.5,78.0
244,0.37294233,0.9962545,31.75,81.5
245,3.6361573,0.9381774,34.75,72.5
246,2.460732,0.9142707,36.0,74.75
247,3.423668,0.9328455,35.25,72.75
248,1.9614376,0.92935985,36.5,73.75
249,0.9308125,0.9375171,35.5,77.75
250,2.787151,0.9140394,35.75,74.0
251,0.4481259,0.99065304,31.25,81.25
252,0.84620345,0.94178134,35.25,78.0
253,1.9187238,0.9145418,34.5,77.0
254,3.2476609,0.9187531,33.5,76.25
255,0.44049397,0.9894257,31.25,81.0
256,0.6871277,0.94476795,32.25,79.5
257,1.8885686,0.93555766,36.5,72.75
258,1.3237029,0.9225331,33.0,77.75
259,0.4129468,0.9623189,34.25,79.25
260,3.6340785,0.93885535,34.5,72.5
261,0.4958512,0.96125793,35.25,78.5
262,3.2810504,0.9114292,35.0,75.5
263,2.4178903,0.9167458,36.0,74.25
264,1.9853404,0.9174318,35.0,76.75
265,0.47648692,0.9568221,33.0,79.25
266,0.27375832,0.9854375,32.75,81.0
267,0.23003545,0.9822284,33.5,80.25
268,2.078489,0.91277933,34.5,76.75
269,0.31464872,0.97755873,32.5,80.5
270,1.2852166,0.94412917,36.75,74.25
271,0.6006957,0.9420763,35.0,78.25
272,3.6094341,0.944185,34.5,72.75
273,0.45016512,0.9562979,34.75,79.0
274,2.30012,0.9220853,36.0,74.5
275,0.5850178,0.9415002,34.0,78.5
276,3.7464325,0.92699575,35.0,73.25
277,0.26179266,1.0096549,33.75,81.0
278,2.7788992,0.9179774,35.75,73.75
279,2.1308014,0.93084484,36.25,73.25
280,0.53739566,0.95454186,35.0,78.5
281,2.9359756,0.91379964,35.75,73.5
282,1.3472074,0.9245023,35.0,77.25
283,0.32233697,0.9694977,34.5,79.5
284,0.32856935,0.9740544,34.25,79.5
285,0.49572438,0.95827895,32.0,80.0
286,3.6030297,0.9149458,34.5,75.5
287,1.2207855,0.9254828,35.25,77.5
288,1.3359106,0.9429076,36.75,73.75
289,0.37165546,0.9660552,33.25,79.25
290,1.9359472,0.9221526,36.25,75.5
291,1.5613571,0.93345094,35.75,76.75
292,3.7497013,0.9327849,34.75,73.0
293,1.4129015,0.9405841,36.75,73.25
294,3.222179,0.9650477,34.5,72.25
295,2.266274,0.9150137,33.0,77.25
296,0.60793537,0.9755937,31.5,81.0
297,1.8392515,0.9268986,36.5,74.75
298,0.31100953,0.9903434,32.25,81.25
299,2.770492,0.9170661,33.5,76.75
300,0.77581775,0.9416368,34.5,78.25
301,3.237278,0.9134764,35.5,74.75
302,0.2551276,0.97996926,33.0,80.75
303,2.7161553,0.9140976,35.75,74.75
304,0.6968715,0.96982926,31.25,80.5
305,2.407701,0.9134835,34.5,76.5
306,2.0225282,0.9285933,36.25,74.0
307,0.44904733,0.96147096,32.75,79.5
308,3.4953084,0.9200685,35.25,73.5
309,1.4928504,0.92061496,34.5,77.25
310,0.5229284,0.94879687,34.0,78.75
311,1.1898639,0.92676365,33.25,77.75
312,3.0375333,0.9107956,34.75,76.0
313,1.7254999,0.9239949,36.25,75.75
314,2.3825645,0.9126462,34.0,76.75
315,1.6653103,0.9273296,36.5,75.5
316,0.33010644,0.9782733,32.75,80.5
317,0.36418283,1.0099072,31.75,81.75
318,0.85169756,0.93149954,33.0,78.5
319,1.7881899,0.91684157,33.5,77.25
320,3.2271905,0.91334635,35.5,74.5
321,1.1019341,0.9479263,37.0,75.25
